district,crime_type,latitude,longitude,date,time
Banashankari,attempted murder,12.899251,77.576456,2017-12-10 00:00:00.000,22:30:00
Banashankari,attempted murder,12.88967,77.571871,2017-02-12 00:00:00.000,23:00:00
Banashankari,attempted murder,12.871945,77.57484,2017-03-12 00:00:00.000,00:10:00
Banashankari,attempted murder,12.855507,77.587458,2019-05-02 00:00:00.000,15:20:00
Banashankari,attempted murder,12.888075,77.570911,2019-03-30 00:00:00.000,04:15:00
Banashankari,attempted murder,12.88245,77.575277,2018-11-04 00:00:00.000,09:40:00
Banashankari,attempted murder,12.871945,77.57484,2018-05-26 00:00:00.000,19:00:00
Banashankari,attempted murder,12.881966,77.566281,2018-02-07 00:00:00.000,20:54:00
Banashankari,attempted murder,12.84856,77.58442,2018-07-31 00:00:00.000,13:10:00
Banashankari,attempted murder,12.870638,77.583264,2018-08-25 00:00:00.000,05:30:00
Banashankari,attempted murder,12.881012,77.57636,2018-04-26 00:00:00.000,17:00:00
Banashankari,attempted murder,12.88967,77.571871,2019-05-02 00:00:00.000,21:00:00
Banashankari,attempted murder,12.878993,77.557886,2019-03-30 00:00:00.000,07:00:00
Banashankari,attempted murder,12.880183,77.567401,2019-03-31 00:00:00.000,07:15:00
Banashankari,attempted murder,12.896392,77.570185,2019-03-04 00:00:00.000,21:10:00
Banashankari,attempted murder,12.89639,77.570185,2019-04-04 00:00:00.000,07:00:00
Banashankari,attempted murder,12.840624,77.580569,2019-05-30 00:00:00.000,23:15:00
Banashankari,attempted murder,12.88818,77.570987,2019-11-20 00:00:00.000,16:30:00
Banashankari,attempted murder,12.843536,77.5836,2019-11-25 00:00:00.000,12:30:00
Banashankari,attempted murder,12.885931,77.585941,2017-11-26 00:00:00.000,03:00:00
Banashankari,attempted murder,12.90903,77.58764,2018-11-04 00:00:00.000,11:30:00
Banashankari,attempted murder,12.902358,77.589837,2018-07-12 00:00:00.000,21:00:00
Banashankari,attempted murder,12.881791,77.588689,2019-11-13 00:00:00.000,19:00:00
Banashankari,attempted murder,12.9124182556892,77.5641048370764,2015-10-02 00:00:00.000,19:00:00
Banashankari,attempted murder,12.8999136414243,77.5724909471076,2015-06-03 00:00:00.000,22:00:00
Banashankari,attempted murder,12.9026072787272,77.5614887435773,2015-07-07 00:00:00.000,17:00:00
Banashankari,attempted murder,12.9021874622456,77.5726241709647,2015-07-29 00:00:00.000,18:30:00
Banashankari,attempted murder,12.9021874622456,77.5726241709647,2015-07-29 00:00:00.000,12:00:00
Banashankari,attempted murder,12.9085203452405,77.5725265251381,2015-03-12 00:00:00.000,16:30:00
Banashankari,attempted murder,12.9141256400484,77.5633354568206,2015-12-13 00:00:00.000,21:00:00
Banashankari,attempted murder,12.9021874622456,77.5726241709647,2015-12-19 00:00:00.000,12:00:00
Banashankari,attempted murder,12.9071512442452,77.5706532660885,2016-07-01 00:00:00.000,21:00:00
Banashankari,attempted murder,12.9105468600267,77.5607455338601,2016-09-01 00:00:00.000,22:30:00
Banashankari,attempted murder,12.9156668834348,77.5615653226641,2016-01-27 00:00:00.000,15:15:00
Banashankari,attempted murder,12.9036664359072,77.567460870869,2016-03-05 00:00:00.000,22:00:00
Banashankari,attempted murder,12.892719430893,77.5668159621641,2016-04-06 00:00:00.000,11:00:00
Banashankari,attempted murder,12.9144905944493,77.5721064816148,2016-07-07 00:00:00.000,15:30:00
Banashankari,attempted murder,12.9144905944493,77.5721064816148,2016-07-31 00:00:00.000,20:40:00
Banashankari,attempted murder,12.9073405371661,77.5726119249203,2016-07-08 00:00:00.000,00:30:00
Banashankari,attempted murder,12.9043309015663,77.5684681501214,2016-08-16 00:00:00.000,23:01:00
Banashankari,attempted murder,12.9008927627643,77.5698813716385,2016-05-09 00:00:00.000,17:00:00
Banashankari,attempted murder,12.9162974053303,77.5707956209262,2016-03-09 00:00:00.000,15:30:00
Banashankari,attempted murder,12.895284445528,77.5662128659953,2016-10-19 00:00:00.000,18:15:00
Banashankari,attempted murder,12.8985485830136,77.5696633326515,2016-10-22 00:00:00.000,09:30:00
Banashankari,attempted murder,12.8981950397319,77.5693753268396,2016-01-11 00:00:00.000,11:55:00
Banashankari,attempted murder,12.8988074924041,77.5722900133757,2016-12-21 00:00:00.000,00:20:00
Banashankari,attempted murder,12.9124941271334,77.5724056559576,2017-04-02 00:00:00.000,21:00:00
Banashankari,attempted murder,12.9036664359072,77.567460870869,2017-03-24 00:00:00.000,21:00:00
Banashankari,attempted murder,12.8964515698276,77.5602433120194,2017-09-06 00:00:00.000,23:00:00
Banashankari,attempted murder,12.9026072787272,77.5614887435773,2017-08-23 00:00:00.000,21:00:00
Banashankari,attempted murder,12.9079509684668,77.5709835206621,2017-09-21 00:00:00.000,"1 day, 0:00:00"
Banashankari,attempted murder,12.9007131600848,77.5651239475589,2017-11-22 00:00:00.000,22:30:00
Banashankari,attempted murder,12.9079107980595,77.5667368067783,2017-11-27 00:00:00.000,21:00:00
Banashankari,attempted murder,12.9135166186977,77.5670477005948,2018-03-13 00:00:00.000,18:00:00
Banashankari,attempted murder,12.9008927627643,77.5698813716385,2018-05-29 00:00:00.000,19:00:00
Banashankari,attempted murder,12.9043309015663,77.5684681501214,,21:00:00
